Audiofile,OptionA,OptionB,item,Group,RespostaEsperada
21D.wav,A. O Jairo escrevia as mensagens.,B. O Jairo lia as mensagens.,1,A,D
22D.wav,A. As crian&ccedil;as comeram a merenda.,B. As crian&ccedil;as comeram os morangos.,2,A,D
23D.wav,A. As &aacute;rvores cresciam no jardim.,B. As flores cresciam no jardim.,3,A,D
24D.wav,A. O Carlos fez seu dever sozinho.,B. O L&eacute;o fez seu dever sozinho.,4,A,D
25D.wav,A. O professor aprovou o Davi.,B. O professor aprovou o Lucas.,5,A,D
26D.wav,A. A Bia se defendeu do assalto.,B. A Laura se defendeu do assalto.,6,A,D
27D.wav,A. A Maria gostava de assistir novela.,B. A Maria gostava de ouvir música.,7,A,D
28D.wav,A. A maioria da turma era estudiosa.,B. A turma toda era estudiosa.,8,A,D
29D.wav,A. O Luiz guardou a mala no quarto de h&oacute;spedes.,B. A Raquel guardou a mala no quarto de h&oacute;spedes.,9,A,D
31D.wav,A. O ladr&atilde;o estava com a maleta de dinheiro.,B. O detetive estava com a maleta de dinheiro.,11,A,D
32D.wav,A. O policial estava armado.,B. O jovem estava armado.,12,A,D
33D.wav,A. A crian&ccedil;a segurava o giz de cera.,B. A professora desenhou com o giz de cera.,13,A,D
34D.wav,A. O rep&oacute;rter dirigia a motocicleta.,B. A celebridade dirigia a motocicleta.,14,A,D
36D.wav,A. A Manuela gosta do Rodrigo.,B. A Manuela gosta do Pedro.,16,A,D
37D.wav,A. Daniel e Camila acordam cedo.,B. Daniel e Camila dormem cedo.,17,A,D
38D.wav,A. O beb&ecirc; chora quando est&aacute; com fome.,B. O beb&ecirc; chora quando est&aacute; com sono.,18,A,D
39D.wav,A. A av&oacute; de Roberta pintava quadros.,B. A av&oacute; de Roberta bordava quadros.,19,A,D
40D.wav,A. Paula e J&eacute;ssica v&atilde;o trabalhar.,B. Paula e J&eacute;ssica v&atilde;o se formar.,20,A,D
41D.wav,A. A irm&atilde; de Pedrinho quer ser astronauta.,B. A irm&atilde; de Pedrinho quer ser astr&oacute;loga.,21,A,D
43D.wav,A. O com&eacute;rcio abre cedo no interior.,B. O com&eacute;rcio fecha cedo no interior.,23,A,D
44D.wav,A. A secret&aacute;ria era esfor&ccedil;ada.,B. A secret&aacute;ria era desastrada.,24,A,D
01SOV1.wav,A. A tia da Sabrina soube algo sobre o Mario no domingo.,B. O Mario ligou para alguem no domingo.,111,A,B
02SOV2.wav,A. O Paulo retornou para algum lugar na segunda-feira.,B. A amiga da Sandy descobriu algo sobre o Paulo na segunda-feira.,212,A,A
03V1.wav,A. O primo do Bruno declarou algo sobre a Lais depois da reuniao.,B. A Lais brigou com alguem depois da reuniao do conselho.,321,A,B
04V2.wav,A. A Renata partiu para algum lugar depois do fim do semestre,B. O tio de Guilherme afirmou algo sobre a Renata depois do fim do semestre.,422,A,A
05SOV1.wav,A. O amigo o Luiz descobriu algo sobre Maria em janeiro,B. A Maria nasceu em meados do m&ecirc;s de janeiro,511,A,B
06SOV2.wav,A. O Danilo errou sobre algo durante uma longa conversa,B. A m&atilde;e da Marta insistiu sobre algo durante uma longa conversa,612,A,A
07V1.wav,A. A chefe da Carla denunciou algo no encontro com o delegado,B. O Jario roubou algo no encontro com o delegado,721,A,B
08V2.wav,A. A Júlia saiu para algum lugar depois de uma longa discuss&atilde;o,B. O Irm&atilde;o de Lucas Admitiu algo depois de uma longa discuss&atilde;o,822,A,A
09SOV1.wav,A. A amiga da Laura testemunhou algo durante o julgamento do r&eacute;u,B. O Marcos havia sumido durante o julgamento do r&eacute;u,911,A,B
10SOV2.wav,A. O Júlio renunciou ao cargo no início do m&ecirc;s de setembro.,B. A colega da Lúcia confirmou algo no início do m&ecirc;s de setembro.,1012,A,A
11V1.wav,A. O chefe do Alex afirmou algo no ofício entregue ao s&oacute;cio.,B. A Marcela mentiu sobre algo no ofício entregue ao s&oacute;cio.,1121,A,B
12V2.wav,A. O Jonas chorou por algum motivo no encontro com os parentes.,B. A madrinha de Lia disse algo sobre o Jonas no encontro com os parentes.,1222,A,A
13SOV1.wav,A. A irm&atilde; da K&aacute;tia admitiu algo antes da venda da casa.,B. O Maurício tinha falido antes da venda da casa.,1311,A,B
14SOV2.wav,A. A Larissa fugiu para algum lugar na 1ª semana de mar&ccedil;o.,B. O pai de Rubens entendeu algo na 1ª semana de mar&ccedil;o.,1412,A,A
15V1.wav,A. A colega da Carla anunciou algo na reuni&atilde;o do partido.,B. O Fernando foi eleito para um cargo na reuni&atilde;o do partido.,1521,A,B
16V2.wav,A. A Elisa se mudou para algum lugar depois da festa de junho.,B. O av&ocirc; de Pedro mencionou algo depois da festa de junho.,1622,A,A
17SOV1.wav,A. A professora da Ana revelou algo depois das f&eacute;rias de fevereiro.,B. O Bruno tinha se formado depois das f&eacute;rias de fevereiro.,1711,A,B
18SOV2.wav,A. A Mariana escapou para algum lugar durante o interrogat&oacute;rio.,B. O chefe do Tales afirmou algo durante o interrogat&oacute;rio.,1812,A,A
19V1.wav,A. O pai de Tiago declarou algo depois da contrata&ccedil;&atilde;o na firma.,B. A Rafaela se casou com algu&eacute;m depois da contrata&ccedil;&atilde;o na firma.,1921,A,B
20V2.wav,A. O Jaime sofreu um surto durante a prova de física.,B. A colega da Paula ouviu algo sobre Jaime durante a prova de física.,2022,A,A
21D.wav,A. O Jairo lia as mensagens.,B. O Jairo escrevia as mensagens.,1,B,D
22D.wav,A. As crian&ccedil;as comeram os morangos.,B. As crian&ccedil;as comeram a merenda.,2,B,D
23D.wav,A. As flores cresciam no jardim.,B. As &aacute;rvores cresciam no jardim.,3,B,D
24D.wav,A. O L&eacute;o fez seu dever sozinho.,B. O Carlos fez seu dever sozinho.,4,B,D
25D.wav,A. O professor aprovou o Lucas.,B. O professor aprovou o Davi.,5,B,D
26D.wav,A. A Laura se defendeu do assalto.,B. A Bia se defendeu do assalto.,6,B,D
27D.wav,A. A Maria gostava de ouvir música.,B. A Maria gostava de assistir novela.,7,B,D
28D.wav,A. A turma toda era estudiosa.,B. A maioria da turma era estudiosa.,8,B,D
29D.wav,A. A Raquel guardou a mala no quarto de h&oacute;spedes.,B. O Luiz guardou a mala no quarto de h&oacute;spedes.,9,B,D
31D.wav,A. O detetive estava com a maleta de dinheiro.,B. O ladr&atilde;o estava com a maleta de dinheiro.,11,B,D
32D.wav,A. O jovem estava armado.,B. O policial estava armado.,12,B,D
33D.wav,A. A professora desenhou com o giz de cera.,B. A crian&ccedil;a segurava o giz de cera.,13,B,D
34D.wav,A. A celebridade dirigia a motocicleta.,B. O rep&oacute;rter dirigia a motocicleta.,14,B,D
36D.wav,A. A Manuela gosta do Pedro.,B. A Manuela gosta do Rodrigo.,16,B,D
37D.wav,A. Daniel e Camila dormem cedo.,B. Daniel e Camila acordam cedo.,17,B,D
38D.wav,A. O beb&ecirc; chora quando est&aacute; com sono.,B. O beb&ecirc; chora quando est&aacute; com fome.,18,B,D
39D.wav,A. A av&oacute; de Roberta bordava quadros.,B. A av&oacute; de Roberta pintava quadros.,19,B,D
40D.wav,A. Paula e J&eacute;ssica v&atilde;o se formar.,B. Paula e J&eacute;ssica v&atilde;o trabalhar.,20,B,D
41D.wav,A. A irm&atilde; de Pedrinho quer ser astr&oacute;loga.,B. A irm&atilde; de Pedrinho quer ser astronauta.,21,B,D
43D.wav,A. O com&eacute;rcio fecha cedo no interior.,B. O com&eacute;rcio abre cedo no interior.,23,B,D
44D.wav,A. A secret&aacute;ria era desastrada.,B. A secret&aacute;ria era esfor&ccedil;ada.,24,B,D
01SOV2.wav,A. O Mario ligou para alguem no domingo.,B. A tia da Sabrina soube algo sobre o Mario no domingo.,112,B,A
02V1.wav,A. A amiga da Sandy descobriu algo sobre o Paulo na segunda-feira.,B. O Paulo retornou para algum lugar na segunda-feira.,221,B,B
03V2.wav,A. A Lais brigou com alguem depois da reuniao do conselho.,B. O primo do Bruno declarou algo sobre a Lais depois da reuniao.,322,B,A
04SOV1.wav,A. O tio de Guilherme afirmou algo sobre a Renata depois do fim do semestre.,B. A Renata partiu para algum lugar depois do fim do semestre,411,B,B
05SOV2.wav,A. A Maria nasceu em meados do m&ecirc;s de janeiro,B. O amigo o Luiz descobriu algo sobre Maria em janeiro,512,B,A
06V1.wav,A. A m&atilde;e da Marta insistiu sobre algo durante uma longa conversa,B. O Danilo errou sobre algo durante uma longa conversa,621,B,B
07V2.wav,A. O Jario roubou algo no encontro com o delegado,B. A chefe da Carla denunciou algo no encontro com o delegado,722,B,A
08SOV1.wav,A. O Irm&atilde;o de Lucas Admitiu algo depois de uma longa discuss&atilde;o,B. A Júlia saiu para algum lugar depois de uma longa discuss&atilde;o,811,B,B
09SOV2.wav,A. O Marcos havia sumido durante o julgamento do r&eacute;u,B. A amiga da Laura testemunhou algo duarante o julgamento do r&eacute;u,912,B,A
10V1.wav,A. A colega da Lúcia confirmou algo no início do m&ecirc;s de setembro.,B. O Júlio renunciou ao cargo no início do m&ecirc;s de setembro.,1021,B,B
11V2.wav,A. A Marcela mentiu sobre algo no ofício entregue ao s&oacute;cio.,B. O chefe do Alex afirmou algo no ofício entregue ao s&oacute;cio.,1122,B,A
12SOV1.wav,A. A madrinha de Lia disse algo sobre o Jonas no encontro com os parentes.,B. O Jonas chorou por algum motivo no encontro com os parentes.,1211,B,B
13SOV2.wav,A. O Maurício tinha falido antes da venda da casa.,B. A irm&atilde; da K&aacute;tia admitiu algo antes da venda da casa.,1312,B,A
14V1.wav,A. O pai de Rubens entendeu algo na 1ª semana de mar&ccedil;o.,B. A Larissa fugiu para algum lugar na 1ª semana de mar&ccedil;o.,1421,B,B
15V2.wav,A. O Fernando foi eleito para um cargo na reuni&atilde;o do partido.,B. A colega da Carla anunciou algo na reuni&atilde;o do partido.,1522,B,A
16SOV1.wav,A. O av&ocirc; de Pedro mencionou algo depois da festa de junho.,B.A Elisa se mudou para algum lugar depois da festa de junho.,1611,B,B
17SOV2.wav,A. O Bruno tinha se formado depois das f&eacute;rias de fevereiro.,B. A professora da Ana revelou algo depois das f&eacute;rias de fevereiro.,1712,B,A
18V1.wav,A. O chefe do Tales afirmou algo durante o interrogat&oacute;rio.,B. A Mariana escapou para algum lugar durante o interrogat&oacute;rio.,1821,B,B
19V2.wav,A. A Rafaela se casou com algu&eacute;m depois da contrata&ccedil;&atilde;o na firma.,B. O pai de Tiago declarou algo depois da contrata&ccedil;&atilde;o na firma.,1922,B,A
20SOV1.wav,A. A colega da Paula ouviu algo sobre Jaime durante a prova de física.,B. O Jaime sofreu um surto durante a prova de física.,2011,B,B
21D.wav,A. O Jairo escrevia as mensagens.,B. O Jairo lia as mensagens.,1,C,D
22D.wav,A. As crian&ccedil;as comeram a merenda.,B. As crian&ccedil;as comeram os morangos.,2,C,D
23D.wav,A. As &aacute;rvores cresciam no jardim.,B. As flores cresciam no jardim.,3,C,D
24D.wav,A. O Carlos fez seu dever sozinho.,B. O L&eacute;o fez seu dever sozinho.,4,C,D
25D.wav,A. O professor aprovou o Davi.,B. O professor aprovou o Lucas.,5,C,D
26D.wav,A. A Bia se defendeu do assalto.,B. A Laura se defendeu do assalto.,6,C,D
27D.wav,A. A Maria gostava de assistir novela.,B. A Maria gostava de ouvir m&uacute;sica.,7,C,D
28D.wav,A. A maioria da turma era estudiosa.,B. A turma toda era estudiosa.,8,C,D
29D.wav,A. O Luiz guardou a mala no quarto de h&oacute;spedes.,B. A Raquel guardou a mala no quarto de h&oacute;spedes.,9,C,D
31D.wav,A. O ladr&atilde;o estava com a maleta de dinheiro.,B. O detetive estava com a maleta de dinheiro.,11,C,D
32D.wav,A. O policial estava armado.,B. O jovem estava armado.,12,C,D
33D.wav,A. A crian&ccedil;a segurava o giz de cera.,B. A professora desenhou com o giz de cera.,13,C,D
34D.wav,A. O rep&oacute;rter dirigia a motocicleta.,B. A celebridade dirigia a motocicleta.,14,C,D
36D.wav,A. A Manuela gosta do Rodrigo.,B. A Manuela gosta do Pedro.,16,C,D
37D.wav,A. Daniel e Camila acordam cedo.,B. Daniel e Camila dormem cedo.,17,C,D
38D.wav,A. O beb&ecirc; chora quando est&aacute; com fome.,B. O beb&ecirc; chora quando est&aacute; com sono.,18,C,D
39D.wav,A. A av&oacute; de Roberta pintava quadros.,B. A av&oacute; de Roberta bordava quadros.,19,C,D
40D.wav,A. Paula e J&eacute;ssica v&atilde;o trabalhar.,B. Paula e J&eacute;ssica v&atilde;o se formar.,20,C,D
41D.wav,A. A irm&atilde; de Pedrinho quer ser astronauta.,B. A irm&atilde; de Pedrinho quer ser astr&oacute;loga.,21,C,D
43D.wav,A. O com&eacute;rcio abre cedo no interior.,B. O com&eacute;rcio fecha cedo no interior.,23,C,D
44D.wav,A. A secret&aacute;ria era esfor&ccedil;ada.,B. A secret&aacute;ria era desastrada.,24,C,D
01V1.wav,A. A tia da Sabrina soube algo sobre o M&aacute;rio no domingo.,B. O M&aacute;rio ligou para algu&eacute;m no domingo.,121,C,B
02V2.wav,A. O Paulo retornou para algum lugar na segunda-feira.,B. A amiga da Sandy descobriu algo sobre o Paulo na segunda-feira.,222,C,A
03SOV1.wav,A. O primo do Bruno declarou algo sobre a La&iacute;s depois da reuni&atilde;o.,B. A La&iacute;s brigou com algu&eacute;m depois da reuni&atilde;o.,311,C,B
04SOV2.wav,A. A Renata partiu para algum lugar depois do fim do semestre.,B. O tio de Guilherme afirmou algo sobre a Renata depois do fim do semestre.,412,C,A
05V1.wav,A. O amigo do Luiz descobriu algo sobre a Maria em janeiro.,B. A Maria nasceu em meados do m&ecirc;s de janeiro.,521,C,B
06V2.wav,A. O Danilo errou sobre algo durante uma longa conversa.,B. A m&atilde;e da Marta insistiu sobre algo durante uma longa conversa.,622,C,A
07SOV1.wav,A. A chefe da Carla denunciou algo no encontro com o delegado.,B. O Jairo roubou algo no encontro com o delegado.,711,C,B
08SOV2.wav,A. A J&uacute;lia saiu para algum lugar depois de uma longa discuss&atilde;o.,B. O irm&atilde;o de Lucas admitiu algo depois de uma longa discuss&atilde;o.,812,C,A
09V1.wav,A. A amiga da Laura testemunhou algo durante o julgamento do r&eacute;u.,B. O Marcos havia sumido durante o julgamento do r&eacute;u.,921,C,B
10V2.wav,A. O J&uacute;lio renunciou ao cargo no in&iacute;cio do m&ecirc;s de setembro.,B. A colega da L&uacute;cia confirmou algo no in&iacute;cio do m&ecirc;s de setembro.,1022,C,A
11SOV1.wav,A. O chefe do Alex afirmou algo no of&iacute;cio entregue ao s&oacute;cio.,B. A Marcela mentiu sobre algo no of&iacute;cio entregue ao s&oacute;cio.,1111,C,B
12SOV2.wav,A. O Jonas chorou por algum motivo no encontro com os parentes.,B. A madrinha de Lia disse algo sobre o Jonas no encontro com os parentes.,1212,C,A
